what,kind,bundleId,bundleVersion,description,time
started,bundle,com.ibm.team.workitem.client,2.2.0.v20101014_2231,"com.ibm.team.workitem.client",1436530937611
started,bundle,com.ibm.team.workitem.common,2.3.0.v20101102_2232,"com.ibm.team.workitem.common",1436530937679
started,bundle,com.ibm.team.workitem.rcp.core,2.1.0.v20101014_0022,"com.ibm.team.workitem.rcp.core",1436530937681
started,bundle,com.ibm.team.workitem.rcp.ui,2.2.0.v20101014_2231,"com.ibm.team.workitem.rcp.ui",1436530937685
started,bundle,com.ibm.teamz.fileagent,1.1.0.v20101105_0847,"com.ibm.teamz.fileagent",1436530937687
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1436530937687
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1436530937687
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1436530937687
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1436530937687
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1436530937687
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1436530937687
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1436530937687
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1436530937687
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1436530937694
os,sysinfo,,,"win32",1436530937700
arch,sysinfo,,,"x86",1436530937700
ws,sysinfo,,,"win32",1436530937700
locale,sysinfo,,,"zh_CN",1436530937700
processors,sysinfo,,,"4",1436530937700
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1436530937700
java.runtime.version,sysinfo,,,"1.5.0_04-b05",1436530937700
java.specification.name,sysinfo,,,"Java Platform API Specification",1436530937700
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1436530937700
java.specification.version,sysinfo,,,"1.5",1436530937700
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1436530937700
java.version,sysinfo,,,"1.5.0_04",1436530937700
java.vm.info,sysinfo,,,"mixed mode",1436530937700
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436530937700
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436530937700
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1436530937700
java.vm.specification.version,sysinfo,,,"1.0",1436530937700
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1436530937700
java.vm.version,sysinfo,,,"1.5.0_04-b05",1436530937700
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1436530937710
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1436530937713
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1436530937747
started,bundle,org.eclipse.help.base,3.5.0.v201006080911,"org.eclipse.help.base",1436530937763
started,bundle,com.ibm.ccl.help.preferenceharvester,1.0.4.v20101105_2241,"com.ibm.ccl.help.preferenceharvester",1436530937893
started,bundle,com.ibm.team.feed.ui,1.1.0.v20101014_1645,"com.ibm.team.feed.ui",1436530937902
started,bundle,com.ibm.team.feed.core,1.1.0.v20101013_2242,"com.ibm.team.feed.core",1436530937904
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1436530937927
started,bundle,com.ibm.team.filesystem.rcp.ui.workitems,2.1.0.v20101101_1717,"com.ibm.team.filesystem.rcp.ui.workitems",1436530937993
started,bundle,com.ibm.team.fulltext.ide.ui,1.1.0.v20101013_2242,"com.ibm.team.fulltext.ide.ui",1436530937998
started,bundle,com.ibm.team.fulltext.common,1.1.0.v20101030_0018,"com.ibm.team.fulltext.common",1436530938033
started,bundle,com.ibm.team.fulltext.client,1.1.0.v20101013_2242,"com.ibm.team.fulltext.client",1436530938040
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1436530938042
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1436530938686
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1436530938686
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1436530938830
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436530939201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436530959580
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1436530962704
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1436530962710
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1436530962731
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.ui",1436530971992
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1436530972094
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1436530972098
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1436530972098
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1436530972102
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1436530972411
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1436530972436
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1436530972501
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1436530972545
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1436530972593
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1436530972634
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1436530974384
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1436530974430
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1436530974474
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1436530974504
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1436530974542
started,bundle,org.eclipse.jst.j2ee,1.1.400.v201005271900,"org.eclipse.jst.j2ee",1436530974616
started,bundle,org.eclipse.jst.j2ee.web,1.1.400.v201005270700,"org.eclipse.jst.j2ee.web",1436530974617
started,bundle,org.eclipse.jst.common.frameworks,1.1.400.v201005130500,"org.eclipse.jst.common.frameworks",1436530974618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436530974855
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1436530985355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436531045246
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436531054444
started,bundle,com.ibm.teamz.zcomponent.ui,1.1.0.v20101108_1941,"com.ibm.teamz.zcomponent.ui",1436531118983
started,bundle,org.eclipse.jst.jee.ui,1.0.300.v201005191301,"org.eclipse.jst.jee.ui",1436531118983
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.400.v201004280900,"org.eclipse.jst.j2ee.navigator.ui",1436531119057
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1436531119824
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1436531119837
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1436531119991
